relevance_score,title,year,doi,arxiv_id,venue,citations,url,pdf_url,sources,query_ids,record_count
29,ActPlane: Programmable OS-Level Policy Enforcement for Agent Harnesses,2026,10.48550/arxiv.2606.25189,2606.25189,arXiv.org,0,https://www.semanticscholar.org/paper/4d1c5a49fcacdbd35c6d640362b4f82369803b35,,semantic-scholar,q1,1
26,MCP-Secure: A Runtime Access Control Layer for Privilege-Aware LLM Agent Tooling,2026,10.1109/ojcs.2026.3664314,,IEEE Open Journal of the Computer Society,2,https://www.semanticscholar.org/paper/dae70c05578f62eab9618d07aa6f5ed6bfd0e9a4,https://doi.org/10.1109/ojcs.2026.3664314,crossref;semantic-scholar,q1;q2;q4,4
25,Proof of Execution: Runtime Verification for Governed AI Agent Actions,2026,,,arXiv (Cornell University),0,https://openalex.org/W7167855197,https://arxiv.org/pdf/2607.05397,openalex,q4,1
24,VIGIL: Runtime Enforcement of Behavioral Specifications in AI Agent Skills,2026,10.48550/arxiv.2606.26524,2606.26524,arXiv (Cornell University),2,https://openalex.org/W7166399857,https://arxiv.org/pdf/2606.26524,arxiv;openalex;semantic-scholar,q1;q4,3
22,Alignment Contracts for Agentic Security Systems,2026,,,arXiv (Cornell University),0,https://openalex.org/W7160360653,https://arxiv.org/pdf/2605.00081,openalex,q4,1
22,Runtime Protection Practice for LLM Agent Security: An On-Demand Behavioral Sandbox Approach,2026,10.1109/isaeece70502.2026.11635191,,"2026 11th International Symposium on Advances in Electrical, Electronics and Computer Engineering (ISAEECE)",0,https://www.semanticscholar.org/paper/ced462e1e7927e92e046a6f5f0cd20f9f4a61d78,,crossref;semantic-scholar,q1;q4,3
22,NiyamAI - An Intent-Bound AI Agent with Cryptographically Verifiable Guardrails using Zero-Knowledge Proofs,2026,,2608.07167,,,https://arxiv.org/abs/2608.07167v1,https://arxiv.org/pdf/2608.07167v1,arxiv,q1;q2,2
21,Agent Safety Should Be a Runtime Contract,2026,10.48550/arxiv.2608.11274,,arXiv (Cornell University),0,https://doi.org/10.48550/arxiv.2608.11274,https://arxiv.org/pdf/2608.11274,openalex,q4,1
21,AQUILES: A Production Architecture for Hybrid Agents with Deterministic Decisions in Regulated Domains — The HADD Paradigm: Closing the Determinism–Expressiveness Gap in LLM-Based Agent Systems,2026,10.5281/zenodo.19948061,,Zenodo (CERN European Organization for Nuclear Research),0,https://doi.org/10.5281/zenodo.19948061,,openalex,q4,2
21,From Prompts to Contracts: Harness Engineering for Auditable Enterprise LLM Agents,2026,,2607.08028,,,https://arxiv.org/abs/2607.08028v1,https://arxiv.org/pdf/2607.08028v1,arxiv,q1;q4,2
